"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet","#"
"C1","1","22nF","","","","Capacitor_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm","~","1"
"D1","1","LED","","","","LED_THT:LED_D3.0mm","~","2"
"D2","1","1N4148","","","","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","https://assets.nexperia.com/documents/data-sheet/1N4148_1N4448.pdf","3"
"J1","1","Conn_01x02_Pin","","","","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Horizontal","~","4"
"J2","1","Conn_01x03_Pin","","","","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Horizontal","~","5"
"R1","1","1K","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","6"
"R2","1","3M3","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","7"
"R3","1","56K","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","8"
"RV1","1","100K","","","","Potentiometer_THT:Potentiometer_Alps_RK163_Single_Horizontal","~","9"
"U1","1","NA555P","","","","Package_DIP:DIP-8_W7.62mm","http://www.ti.com/lit/ds/symlink/ne555.pdf","10"
